Anime,Genres,Rating
Chihayafuru_2,"['Drama', 'Sports', 'Love Polygon', 'School', 'Strategy Game', 'Josei']",8.39
Houseki_no_Kuni,"['Action', 'Drama', 'Fantasy', 'Mystery', 'Anthropomorphic', 'Seinen']",8.39
Kamisama_Hajimemashita__Kako-hen,"['Comedy', 'Fantasy', 'Romance', 'Mythology', 'Time Travel', 'Shoujo']",8.39
Tensei_shitara_Slime_Datta_Ken_2nd_Season,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Isekai', 'Reincarnation']",8.39
Tian_Guan_Ci_Fu,"['Action', 'Adventure', 'Drama', 'Supernatural', 'Historical']",8.38
Mushoku_Tensei__Isekai_Ittara_Honki_Dasu,"['Drama', 'Fantasy', 'Ecchi', 'Isekai', 'Reincarnation']",8.38
Non_Non_Biyori_Nonstop,"['Slice of Life', 'CGDCT', 'Iyashikei', 'Seinen']",8.38
3-gatsu_no_Lion,"['Drama', 'Slice of Life', 'Childcare', 'Iyashikei', 'Strategy Game', 'Seinen']",8.38
Barakamon,"['Slice of Life', 'Childcare', 'Iyashikei', 'Visual Arts']",8.38
Cowboy_Bebop__Tengoku_no_Tobira,"['Action', 'Sci-Fi', 'Adult Cast', 'Space']",8.38
Cross_Game,"['Drama', 'Romance', 'Sports', 'School', 'Team Sports', 'Shounen']",8.38
Baccano,"['Action', 'Comedy', 'Mystery', 'Supernatural', 'Historical', 'Organized Crime']",8.37
Boku_no_Hero_Academia_6th_Season,"['Action', 'School', 'Super Power', 'Shounen']",8.37
Kizumonogatari_I__Tekketsu-hen,"['Action', 'Mystery', 'Supernatural', 'Vampire']",8.37
Made_in_Abyss_Movie_2__Hourou_Suru_Tasogare,"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi', 'Gore', 'Survival']",8.37
Mahou_Shoujo_Madoka★Magica_Movie_2__Eien_no_Monogatari,"['Drama', 'Suspense', 'Mahou Shoujo', 'Psychological']",8.37
Kaze_no_Tani_no_Nausicaä,"['Adventure', 'Award Winning', 'Fantasy']",8.36
Mahou_Shoujo_Madoka★Magica,"['Award Winning', 'Drama', 'Suspense', 'Mahou Shoujo', 'Psychological']",8.36
Usagi_Drop,"['Slice of Life', 'Childcare', 'Iyashikei', 'Josei']",8.36
